时间,上行PRB平均利用率,下行PRB平均利用率,无线利用率,RRC连接最大数,RRC连接平均数,有效RRC连接最大数,有效RRC连接平均数,eNB间X2切换出请求次数,eNB间X2切换出成功次数,空口上行业务字节数,空口下行业务字节数
2018/3/20 5:00,0.0023,0.0053,0.0048,4,1,2,0.05105,5,5,226,225
2018/3/20 6:00,0.017,0.0132,0.0138,7,2.5,4,0.373725,49,38,3453,35241
2018/3/20 7:00,0.0253,0.0171,0.0186,9,4,5,0.43455,26,22,7466,166427
2018/3/20 8:00,0.0288,0.0216,0.0229,9,4,5,0.43515,47,42,10458,172046
2018/3/20 9:00,0.0252,0.0297,0.0289,9,4,5,0.47645,9,6,10484,305130
2018/3/20 10:00,0.0339,0.0293,0.0301,9,4.25,5,0.506,37,36,15850,267704
2018/3/20 11:00,0.0195,0.0266,0.0253,7,3.75,4,0.43885,22,19,10598,344083
2018/3/20 12:00,0.0617,0.042,0.0455,11,4.5,5,0.83195,22,22,45862,226478
2018/3/20 13:00,0.0109,0.0077,0.0083,8,2,4,0.249975,36,36,3631,13582
2018/3/20 14:00,0.0119,0.0179,0.0168,6,2.25,3,0.226275,23,19,3537,44731
2018/3/20 15:00,0.0138,0.0116,0.012,5,1.25,3,0.24445,19,16,8618,29521
2018/3/20 16:00,0.0195,0.0174,0.0178,4,1,3,0.384475,10,8,12000,193875
2018/3/20 17:00,0.0193,0.0145,0.0154,7,2,4,0.313975,28,24,9174,44999
2018/3/20 18:00,0.1244,0.0253,0.0427,8,3.25,5,0.76805,39,35,73976,161141
2018/3/20 19:00,0.0577,0.0376,0.0411,7,3,5,0.575725,92,91,37551,232370
2018/3/20 20:00,0.0654,0.0789,0.0765,9,5,6,1.164425,65,65,39040,530745
2018/3/20 21:00,0.0622,0.0938,0.0882,12,6,7,1.34435,19,19,19976,328800
2018/3/20 22:00,0.029,0.0287,0.0288,8,3,4,0.5069,23,19,7494,88133
2018/3/20 23:00,0.0059,0.012,0.0109,5,1,2,0.099225,5,1,1032,14218
2018/3/21 0:00,0.0032,0.0072,0.0065,4,0.25,2,0.067275,16,9,777,4359
2018/3/21 1:00,0.0053,0.0192,0.0168,4,0.25,2,0.100425,0,0,3483,104625
2018/3/21 2:00,0.0082,0.0408,0.035,3,1,3,0.168575,9,0,6002,320867
2018/3/21 3:00,0.0123,0.0531,0.0459,4,1,3,0.207475,6,0,12625,653783
2018/3/21 4:00,0.0053,0.0121,0.0109,4,0.5,3,0.091475,7,0,1662,5516
2018/3/21 5:00,0.0035,0.0055,0.0051,4,1,2,0.08105,16,5,998,1804
2018/3/21 6:00,0.0103,0.0121,0.0118,5,1.5,3,0.192675,8,2,2934,72129
2018/3/21 7:00,0.0154,0.0243,0.0227,7,2.5,4,0.354125,15,15,7613,285047
2018/3/21 8:00,0.0268,0.0235,0.0241,7,3.25,5,0.539,27,26,11602,182248
2018/3/21 9:00,0.0182,0.0113,0.0125,6,2.5,4,0.373275,27,24,7541,67030
2018/3/21 10:00,0.0143,0.0206,0.0195,6,1.5,4,0.291975,58,56,7676,134140
2018/3/21 11:00,0.0063,0.0068,0.0067,5,1.25,3,0.15445,49,49,2436,15063
2018/3/21 12:00,0.0101,0.0139,0.0133,5,1.25,3,0.2199,42,38,6487,122239
2018/3/21 13:00,0.0068,0.0148,0.0134,5,1,3,0.13245,41,39,2213,15445
2018/3/21 14:00,0.0076,0.014,0.0128,4,1.25,3,0.1676,28,22,4344,102099
